level,draw,seed,spread,signs,order,s_NetZero,s_Delayed,s_Below2C,s_NDCs,s_Fragmented
1e-16,134,500134,1.3468825460653222,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,0.8642721835465439,0.7044510211368404,-0.3805913724447456,-0.2542961273496362,-0.4826103625187783
1e-16,135,500135,1.4334011553090211,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,1.1039353716563485,0.9244897583757336,-0.211517513143197,-0.0896635313152502,-0.3294657836526729
1e-16,136,500136,1.4701248644185858,++---,NetZero>Delayed>Below2C>NDCs>Fragmented,0.9546996364678484,0.7335846951807277,-0.3498086763735086,-0.4410245558280588,-0.5154252279507374
1e-16,137,500137,0.869564601355227,-----,NetZero>Delayed>Below2C>NDCs>Fragmented,-0.1923886139110942,-0.2989075448164051,-0.9633609393807196,-1.0201055745787104,-1.0619532152663211
1e-16,138,500138,1.2222753757817455,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,0.964310221791129,0.8009945455516947,-0.1458579427518334,-0.0367269039424718,-0.2579651539906167
1e-16,139,500139,1.6638088734050551,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,1.1885739138026157,1.0150708923778913,-0.344961864499421,-0.0413381735153568,-0.4752349596024396
1e-16,140,500140,1.604694644356842,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,0.9713309905705896,0.7654608388695081,-0.5069833014649596,-0.4112933803062537,-0.6333636537862524
1e-16,141,500141,2.027007585025393,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,1.6902904229755988,1.4029535485957556,-0.139243481827441,-0.0542500377722867,-0.3367171620497937
1e-16,142,500142,1.4631014031943104,+++++,NetZero>Delayed>Below2C>NDCs>Fragmented,1.6376866793966878,1.3804147554869175,0.3369173874694886,0.2338806318889941,0.1745852762023774
1e-16,143,500143,1.7411989122078522,++---,NetZero>Delayed>Below2C>NDCs>Fragmented,1.0255435228104417,0.7611423447462804,-0.5231469344505082,-0.6400296800467782,-0.7156553893974107
1e-16,144,500144,1.781527002917689,+++++,NetZero>Delayed>NDCs>Below2C>Fragmented,1.9650289822350884,1.7095866792174663,0.3546252760954882,0.4564070462807827,0.1835019793173993
1e-16,145,500145,1.4164183352438515,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,0.5681115997751367,0.3880781868683933,-0.7465019692397075,-0.6525707258541522,-0.8483067354687148
1e-16,146,500146,1.3241841990276138,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,0.5677927057772223,0.3985943899276956,-0.6308676755143998,-0.5295547888669714,-0.7563914932503915
