Scenario,Component,Sector,Date,LogRatioReplication,LogRatioThesis
Net Zero 2050,combined,MATS,2050-12-31,-1.4734558882275417,-1.672549139062
Net Zero 2050,combined,REIT,2050-12-31,-0.24284096605685157,-0.0377130991336196
Net Zero 2050,combined,UTIL,2050-12-31,0.0,0.0
Net Zero 2050,physical,CDSC,2050-12-31,0.0,0.690003106088165
Net Zero 2050,physical,COMM,2050-12-31,-1.8075834902071053,-5.99430436008933
Net Zero 2050,physical,CSTP,2050-12-31,0.0,-0.760800558245457
Net Zero 2050,physical,ENRG,2050-12-31,0.0,-0.998662627253473
Net Zero 2050,physical,FIN,2050-12-31,0.0,0.0
Net Zero 2050,physical,HLTC,2050-12-31,0.0,-0.510484517443683
Net Zero 2050,physical,IND,2050-12-31,0.0,-0.345094038300355
Net Zero 2050,physical,INFT,2050-12-31,-1.025915978096803,-1.85181819035205
Net Zero 2050,physical,MATS,2050-12-31,-1.4740610355318076,-3.37519647630977
Net Zero 2050,physical,REIT,2050-12-31,0.005007529766984042,-0.06135842870486
Net Zero 2050,physical,UTIL,2050-12-31,0.0,0.0
Net Zero 2050,transition,CDSC,2050-12-31,0.0,0.689698150755532
Net Zero 2050,transition,COMM,2050-12-31,-1.8172100438323726,-6.23677850478753
Net Zero 2050,transition,CSTP,2050-12-31,0.0,-0.760462202671381
Net Zero 2050,transition,ENRG,2050-12-31,0.30486050686126465,0.285374313980024
Net Zero 2050,transition,FIN,2050-12-31,0.0,0.0
Net Zero 2050,transition,HLTC,2050-12-31,0.0,-0.510258521493899
Net Zero 2050,transition,IND,2050-12-31,0.0,-0.344941471395765
Net Zero 2050,transition,INFT,2050-12-31,-1.025915978096803,-1.90629757970473
Net Zero 2050,transition,MATS,2050-12-31,-1.4740357986564874,-1.66996679631922
Net Zero 2050,transition,REIT,2050-12-31,-0.24282465109177664,-0.0366414641882045
Net Zero 2050,transition,UTIL,2050-12-31,0.0,0.0
